player_name,Tier,TalentScore,OverallRating,win_pct,top5_pct,avg_finish
Scottie Scheffler,S,0.89,99,99.8,100.0,1.002
Tommy Fleetwood,S,0.47,89,0.2,97.6,2.449
Collin Morikawa,S,0.45,89,0.0,1.4000000000000001,23.8695
J.J. Spaun,S,0.43,88,0.0,24.349999999999998,9.612
Viktor Hovland,S,0.43,88,0.0,0.5,30.2155
Rico Hoey,S,0.4,87,0.0,0.0,66.6555
Sepp Straka,S,0.39,87,0.0,6.950000000000001,14.472
Russell Henley,S,0.37,87,0.0,71.7,4.824
Patrick Cantlay,S,0.36,86,0.0,23.35,9.428
Shane Lowry,A,0.36,86,0.0,0.35000000000000003,27.9115
Rory McIlroy,A,0.35,86,0.0,39.25,7.4735
Kurt Kitayama,A,0.33,86,0.0,2.4,19.625
Ben Griffin,A,0.33,86,0.0,48.449999999999996,6.6305
Aaron Rai,A,0.33,86,0.0,2.55,17.913
Si Woo Kim,A,0.31,85,0.0,0.8,24.9655
Nicolai Højgaard,A,0.31,85,0.0,0.0,38.4375
Kevin Yu,A,0.3,85,0.0,0.5499999999999999,27.913
Ben Kohles,A,0.29,85,0.0,0.0,58.184
Daniel Berger,A,0.29,85,0.0,0.0,40.0885
Keegan Bradley,A,0.28,84,0.0,14.85,11.224
Doug Ghim,A,0.27,84,0.0,0.0,67.131
Xander Schauffele,A,0.26,84,0.0,0.0,39.6795
Akshay Bhatia,A,0.26,84,0.0,0.0,44.2915
Robert MacIntyre,A,0.25,84,0.0,18.05,10.513
Pierceson Coody,A,0.25,84,0.0,0.0,42.9425
Corey Conners,A,0.25,84,0.0,0.2,28.947
Lee Hodges,A,0.25,84,0.0,0.8999999999999999,23.755
Jordan Spieth,A,0.24,84,0.0,29.099999999999998,8.6845
Justin Thomas,A,0.24,84,0.0,13.3,11.369
Lucas Glover,A,0.23,83,0.0,0.0,43.9435
Hideki Matsuyama,A,0.23,83,0.0,0.05,33.4645
Victor Perez,A,0.23,83,0.0,0.0,43.318
Ryan Gerard,A,0.23,83,0.0,0.0,47.5165
Bud Cauley,A,0.23,83,0.0,0.4,22.3715
Nick Taylor,A,0.22,83,0.0,0.3,26.5585
Taylor Pendrith,A,0.22,83,0.0,0.05,33.365
Keith Mitchell,B,0.21,83,0.0,0.0,44.8155
Maverick McNealy,B,0.21,83,0.0,0.15,30.0915
Michael Kim,B,0.2,83,0.0,0.7000000000000001,25.7655
Chris Kirk,B,0.2,83,0.0,0.0,44.077
Thorbjørn Olesen,B,0.2,83,0.0,0.75,22.3765
Gary Woodland,B,0.2,82,0.0,0.0,62.941
Steven Fisk,B,0.19,82,0.0,0.0,54.3615
Michael Thorbjornsen,B,0.19,82,0.0,0.0,58.227
Joseph Bramlett,B,0.19,82,0.0,0.0,71.642
Alex Smalley,B,0.18,82,0.0,0.3,26.215
Emiliano Grillo,B,0.18,82,0.0,0.0,49.432
Adam Scott,B,0.18,82,0.0,0.0,35.455
Sami Valimaki,B,0.17,82,0.0,0.0,66.7215
Thomas Rosenmueller,B,0.17,82,0.0,0.0,77.682
Davis Thompson,B,0.17,82,0.0,0.0,47.7255
Chris Gotterup,B,0.17,82,0.0,0.0,42.8615
Ludvig Åberg,B,0.16,82,0.0,0.0,47.801
Greyson Sigg,B,0.16,82,0.0,0.0,63.1605
Henrik Norlander,B,0.16,81,0.0,0.0,75.98
Patrick Fishburn,B,0.15,81,0.0,0.0,36.585
Antoine Rozner,B,0.15,81,0.0,0.0,73.6255
Ricky Castillo,B,0.14,81,0.0,0.0,39.8265
Ryan Fox,B,0.14,81,0.0,0.0,37.1965
Luke Clanton,B,0.14,81,0.0,0.0,66.2645
Mac Meissner,B,0.14,81,0.0,0.0,47.435
Zac Blair,B,0.14,81,0.0,0.0,69.487
Matt Fitzpatrick,B,0.13,81,0.0,0.1,29.7905
Max McGreevy,B,0.13,81,0.0,0.0,53.3005
Kevin Roy,B,0.12,81,0.0,0.05,36.756
Harry Hall,B,0.12,81,0.0,0.0,51.8685
Jesper Svensson,B,0.12,81,0.0,0.0,53.387
J.T. Poston,B,0.11,81,0.0,0.5,25.2245
Austin Eckroat,B,0.11,80,0.0,0.0,72.4485
Ryo Hisatsune,B,0.11,80,0.0,0.05,47.5865
Jake Knapp,B,0.11,80,0.0,0.0,54.1
Rickie Fowler,B,0.1,80,0.0,0.0,44.985
Cameron Young,B,0.1,80,0.0,0.0,56.7315
Jhonattan Vegas,B,0.09,80,0.0,0.0,65.6735
Joel Dahmen,B,0.09,80,0.0,0.0,61.79
Harris English,B,0.09,80,0.0,0.0,50.678
Sam Burns,B,0.09,80,0.0,0.0,68.8375
Denny McCarthy,B,0.08,80,0.0,0.0,69.74
Matt Wallace,B,0.07,79,0.0,0.0,52.096
Garrick Higgo,B,0.07,79,0.0,0.0,56.511
